KOD,NAZEV,ANAZEV,DOD,DDO,NEPLATNOST,LATNAZEV
7504T054,Učitelství fyziky pro SŠ,,,,,
7504T055,Učitelství fyziky pro střední školy,,,,,
7504T056,Učitelství geografie a kartografie pro střední školy,,,,,
2301T017,Strojní inženýrství - aplikovaná mechanika,,,,,
2301T018,Strojní inženýrství - dopravní technika,,,,,
2301T019,Strojní inženýrství - ekotechnika,,,,,
2301T020,Strojní inženýrství - letadlová technika,,,,,
2301T021,Strojní inženýrství - přesná mechanika a optika,,,,,
2301T022,Strojní inženýrství - technika životního prostředí,,,,,
2301T023,"Technická diagnostika, opravy a udržování",,,,,
2301T024,Technika prostředí,,,,,
2301T025,Technika prostředí - technika životního prostředí,,,,,
2301T026,Technika životního prostředí,,,,,
2301T030,Výrobní systémy /Produktionssysteme/,,,,,
2301T032,Výrobní systémy s průmyslovými roboty a manipulátory,,,,,
2301T034,Přístrojová a řídící technika,,,,,
2301T035,Energetické inženýrství,,,,,
2301T036,Fluidní inženýrství,,,,,
2301T037,Konstrukční inženýrství,,,,,
2301T038,Automobilní a dopravní inženýrství,,,,,
2301T039,Stavba letadel,,,,,
2301T041,"Výrobní stroje, systémy a roboty",,,,,
2301T042,Environmental Health and Safety Risk Management,,,,,
2301T043,Industrial Engineering,,,,,
2301T044,Computation and Modelisation,,,,,
2301T045,Design of Vehicles,,,,,
2301T046,Vehicle Dynamics and Clean Driveline Control Systems,,,,,
2301T047,"Dopravní, letadlová a transportní technika",,,,,
2301T048,Strojírenská technologie a materiály,,,,,
2301T049,Výrobní systémy a procesy /Manufacturing Systems and Processes/,,,,,
2301T050,Advanced Powertrains,,,,,
2301T051,Výroba automobilových světel a technických svítidel /Product. of Automot. Lights,,,,,
2301V001,Dopravní a manipulační technika,,,,,
2301V003,Dopravní technika a technologie,,,,,
2301V005,Počítačově integrovaná výroba,,,,,
2301V007,Průmyslové inženýrství a management,,,,,
2301V009,Přesná mechanika,,,,,
2301V010,Přesná mechanika a optika,,,,,
2301V013,Robotika,,,,,
2301V024,Technika prostředí,,,,,
2301V027,Textilní technika,,,,,
2301V028,Transportní a manipulační technika,,,,,
2301V031,Výrobní systémy a procesy,,,,,
2301V037,Konstrukční inženýrství,,,,,
2302R003,Dopravní stroje a manipulace s materiálem,,,,,
2302R005,Energetická a procesní zařízení,,,,,
2302R007,Hydraulické a pneumatické stroje a zařízení,,,,,
2302R009,Konstrukce strojů,,,,,
2302R010,Konstrukce strojů a zařízení,,,,,
2302R016,Stavba strojů a zařízení,,,,,
2302R022,Stroje a zařízení,,,,,
2302R042,Energetika a procesní technika,,,,,
2302T006,Energetické stroje a zařízení,,,,,
2302T007,Hydraulické a pneumatické stroje a zařízení,,,,,
2302T008,Konstrukce a provoz strojů pro dopravní stavitelství,,,,,
2302T010,Konstrukce strojů a zařízení,,,,,
2302T011,Počítačové konstruování strojů a zařízení,,,,,
2302T013,Stavba energetických strojů a zařízení,,,,,
2302T014,Stavba energetických strojů a zařízení - tepelně energetická zařízení,,,,,
2302T018,Stavba výrobních strojů,,,,,
2302T019,Stavba výrobních strojů a zařízení,,,,,
2302T021,Stavba výrobních strojů a zařízení - výrobní stroje a zařízení,,,,,
2302T023,"Stroje a zařízení pro chemický, potravinářský a spotřební průmysl",,,,,
2302T024,"Stroje a zařízení pro chladicí techniku, stlačování a dopravu tekutin",,,,,
2302T025,Stroje a zařízení pro strojírenskou výrobu,,,,,
2302T026,Strojní inženýrství - hydraulické a pneumatické stroje a zařízení,,,,,
2302T027,"Strojní inženýrství - stroje a zařízení pro chem., potravin. a spotř. průmysl",,,,,
2302T028,"Strojní inženýrství - stroje a zařízení pro chlad. tech.,stlač. a dopr. tekutin",,,,,
2302T029,Strojní inženýrství - tepelně energetická zařízení,,,,,
2302T030,"Strojní inženýrství - transportní, stavební a zemědělské stroje",,,,,
2302T031,Strojní inženýrství - výrobní stroje a zařízení,,,,,
2302T032,Strojní zařízení dolů,,,,,
2302T033,Strojní zařízení dolů a hutí,,,,,
2302T034,Strojní zařízení hutí,,,,,
2302T035,"Strojní zařízení pro stavebnictví, úpravárenství a zemědělství",,,,,
2302T036,Tepelné a jaderné stroje a zařízení,,,,,
2302T037,Tepelně energetická zařízení,,,,,
2302T038,"Transportní, stavební a zemědělské stroje",,,,,
2302T039,Výrobní stroje a zařízení,,,,,
2302T040,Konstrukce zdravotnické techniky,,,,,
2302T041,Stavba jaderně energetických zařízení,,,,,
2302T043,Hydraulika a pneumatika,,,,,
2302V001,Části a mechanismy strojů,,,,,
2302V002,Části strojů a mechanismů,,,,,
2302V004,Dopravní stroje a zařízení,,,,,
2302V006,Energetické stroje a zařízení,,,,,
2302V007,Hydraulické a pneumatické stroje a zařízení,,,,,
2302V010,Konstrukce strojů a zařízení,,,,,
2302V012,Stavba dopravních strojů a zařízení,,,,,
2302V013,Stavba energetických strojů a zařízení,,,,,
2302V015,Stavba jaderných zařízení,,,,,
2302V017,Stavba tepelně energetických zařízení,,,,,
2302V019,Stavba výrobních strojů a zařízení,,,,,
2302V020,Stavba výrobních strojů a zařízení - výrobní stroje,,,,,
2302V039,Výrobní stroje a zařízení,,,,,
2303R001,Optimalizace strojírenských technologií,,,,,
2303R002,Strojírenská technologie,,,,,
2303R007,Výrobní technologie ve strojírenství,,,,,
2303R008,Řízení výroby,,,,,
2303R009,Strojírenská technologie a management,,,,,
2303R012,Technologie zpracování skla a polymerů,,,,,
2303R013,Management sklářství a plastikářství,,,,,
2303R014,"Technologie, materiály a ekonomika ve strojírenství",,,,,
2303T002,Strojírenská technologie,,,,,
2303T003,Strojírenská technologie - průmyslový management,,,,,
2303T004,Strojírenská technologie - technologie obrábění,,,,,
2303T005,Strojírenská technologie a průmyslový management,,,,,
2303T006,Strojní inženýrství - strojírenská technologie,,,,,
2303T010,Výrobní technologie a průmyslový management,,,,,
2303T011,Příprava a řízení výroby,,,,,
2303V000,Kmenový obor: Strojírenská technologie,,,,,
2303V002,Strojírenská technologie,,,,,
2303V004,Strojírenská technologie - technologie obrábění,,,,,
2303V015,"Inženýrství speciálních technologií a materiálů /Eng. of Spec. Technolog.,Mater.",,,,,
2304R002,Materiálové a technologické inženýrství,,,,,
2304R003,Přístrojová a automatizační technika výzbroje,,,,,
2304R010,Zbraně a munice,,,,,
2304R012,Ženijní a stavební stroje,,,,,
2304R014,Mechanizace ženijních a stavebních prací,,,,,
2304R015,Mobilní vojenská technika,,,,,
2304R016,Bojová a speciální vozidla,,,,,
2304R017,Materiály a technologie speciální výroby,,,,,
2304T001,Hydraulické a pneumatické mechanismy vojenské techniky,,,,,
2304T002,Materiálové a technologické inženýrství,,,,,
2304T003,Přístrojová a automatizační technika výzbroje,,,,,
2304T004,Tankový a automobilní,,,,,
2304T005,Velitelsko-inženýrská dělostřelecká,,,,,
2304T016,Bojová a speciální vozidla,,,,,
2304T017,Materiály a technologie speciální výroby,,,,,
2304V002,Materiálové a technologické inženýrství,,,,,
2304V007,Vojenská technika,,,,,
2304V008,"Vojenská technika, zbraně a munice",,,,,
2304V010,Zbraně a munice,,,,,
2305R001,Ekonomika a řízení strojírenské výroby,,,,,
2305R002,Ekonomika a řízení strojírenské výroby - technicko-manažerské studium,,,,,
2305R004,Řízení výroby,,,,,
2305R005,Strojírenský management,,,,,
2305R006,Strojírenství se zaměřením na ekonomiku a řízení,,,,,
2305R008,Technologický management,,,,,
2305T001,Ekonomika a řízení strojírenské výroby,,,,,
2305T003,Řízení a ekonomika podniku,,,,,
2305T007,Strojní inženýrství - ekonomika a řízení strojírenské výroby,,,,,
2305V003,Řízení a ekonomika podniku,,,,,
2306R002,Letecká technika,,,,,
2306R004,Letecké technické a provozní zabezpečení,,,,,
2306R008,Letecký štábní,,,,,
2306R009,Letištní technické zabezpečení,,,,,
2306R010,Letový provoz,,,,,
2306R011,Pilot vojenského letadla,,,,,
2306R012,Raketová technika,,,,,
2306R016,Letecká technika a raketové systémy,,,,,
2306R017,Letový provoz a řízení letectva,,,,,
2306R018,Letecká a raketová technika,,,,,
2306R019,Vojenský pilot,,,,,
2306T002,Letecká technika,,,,,
7506T004,Speciální pedagogika a psychologie,,,,,
7506T005,Speciální pedagogika a psychologie edukativní a školní,,,,,
7506T007,Speciální pedagogika pro mládež vyžadující zvláštní péči,,,,,
7506T014,Učitelství na speciálních školách,,,,,
7506T015,Učitelství pro 1. stupeň speciálních škol,,,,,
7506T016,Učitelství pro 2. stupeň speciálních škol,,,,,
7506T017,Učitelství pro 2. stupeň speciálních ZŠ a ZŠ,,,,,
7506T018,Učitelství pro speciální školy,,,,,
7506T019,Učitelství pro školy pro mládež vyžadující zvláštní péči,,,,,
7506T020,Učitelství pro zvláštní školy a 1. stupeň speciálních ZŠ,,,,,
7506T021,Učitelství pro zvláštní školy a 1. stupeň ZŠ,,,,,
7506T022,Učitelství speciální pedagogiky pro střední školy,,,,,
7506T023,Učitelství speciální pedagogiky pro základní školy,,,,,
7506T024,Učitelství tělesné a pracovní výchovy pro zdravotně postižené,,,,,
7506T026,Učitelství pro 1. stupeň základních škol a speciální pedagogika,,,,,
7506T027,Učitelství pro 2. stupeň základních škol a speciální pedagogika,,,,,
7506T030,Edukace jedinců s více vadami,,,,,
7506T031,Logopedie - surdopedie,,,,,
7506T032,Psychopedie - etopedie,,,,,
7506T034,Speciální pedagogika rehabilitační a humanitární činnosti,,,,,
7506T036,Speciálně pedagogická andragogika,,,,,
7506T037,Speciální pedagogika pro 2.stupeň základních škol a pro střední školy,,,,,
7506T038,Speciální pedagogika rehabilitační činnost a management speciálních zařízení,,,,,
7506T040,Speciální andragogika,,,,,
7506T041,Speciální pedagogika pro učitele,,,,,
7506T042,Speciální  pedagogika - učitelství,,,,,
7506T043,Speciální pedagogika pro učitele středních škol,,,,,
7506T050,Special Needs Counselling,,,,,
7506T053,Speciální pedagogika – logopedie,,,,,
7506T054,Speciální pedagogika – poradenství,,,,,
7506T999,Special and Inclusive Education (Erasmus Mundus),,,,,
7506V000,Kmenový obor: Speciální pedagogika,,,,,
7506V002,Speciální pedagogika,,,,,
7506V039,Special Education,,,,,
7507R001,Informační technologie ve vzdělávání,,,,,
7507R003,Prezentační a didaktická média,,,,,
7507R004,Uměleckopedagogické studium,,,,,
7507R005,Uměleckopedagogické studium - hudební zaměření,,,,,
7507R006,Uměleckopedagogické studium - textilní tvorba,,,,,
7507R007,Uměleckopedagogické studium - zaměření hudební,,,,,
7507R008,Uměleckopedagogické studium - zaměření výtvarné,,,,,
7507R009,Pedagogické asistentství fyziky pro základní školy,,,,,
7507R010,Pedagogické asistentství hudební výchovy pro základní školy,,,,,
7507R011,Pedagogické asistentství chemie pro základní školy,,,,,
7507R012,Pedagogické asistentství matematiky pro základní školy,,,,,
7507R013,Pedagogické asistentství občanské výchovy pro základní školy,,,,,
7507R014,Pedagogické asistentství přírodopisu pro základní školy,,,,,
7507R015,Pedagogické asistentství speciální pedagogiky pro základní školy,,,,,
7507R016,Pedagogické asistentství technické a informační výchovy pro základní školy,,,,,
7507R017,Pedagogické asistentství výtvarné výchovy pro základní školy,,,,,
7507R018,Pedagogické asistentství dějepisu pro základní školy,,,,,
7507R019,Pedagogické asistentství zeměpisu pro základní školy,,,,,
7507R020,Náboženská výchova,,,,,
7507R021,Uměleckořemeslné textilní disciplíny,,,,,
7507R022,Pedagogické asistentství anglického jazyka a literatury pro základní školy,,,,,
7507R023,Pedagogické asistentství českého jazyka a literatury pro základní školy,,,,,
7507R024,Pedagogické asistentství francouzského jazyka a literatury pro základní školy,,,,,
7507R025,Pedagogické asistentství německého jazyka a literatury pro základní školy,,,,,
7507R026,Pedagogické asistentství ruského jazyka a literatury pro základní školy,,,,,
7507R027,Pedagogické asistentství rodinné výchovy a výchovy ke zdraví pro základní školy,,,,,
7507R028,Hra na nástroj nebo zpěv se zaměřením na vzdělávání,,,,,
7507R029,Hudební kultura se zaměřením na vzdělávání,,,,,
7507R030,Společenské vědy se zaměřením na vzdělávání,,,,,
7507R031,Výchova ke zdraví se zaměřením na vzdělávání,,,,,
7507R032,Výtvarná tvorba se zaměřením na vzdělávání,,,,,
7507R033,Základy technických věd a informačních technologií pro vzdělávání,,,,,
7507R034,Výchova ke zdraví,,,,,
7507R035,Sociálně pedagogická asistence,,,,,
7507R036,Anglický jazyk se zaměřením na vzdělávání,,,,,
7507R037,Český jazyk se zaměřením na vzdělávání,,,,,
7507R038,Dějepis se zaměřením na vzdělávání,,,,,
7507R039,Francouzský jazyk se zaměřením na vzdělávání,,,,,
7507R040,Informační technologie se zaměřením na vzdělávání,,,,,
7507R041,Německý jazyk se zaměřením na vzdělávání,,,,,
7507R042,Technická a informační výchova se zaměřením na vzdělávání,,,,,
7507R043,Tělesná výchova a sport se zaměřením na vzdělávání,,,,,
7507R044,Hra na hudební nástroj - akordeon,,,,,
7507R045,"Biologie, geologie a environmentalistika se zaměřením na vzdělávání",,,,,
7507R046,Hra na nástroj se zaměřením na vzdělávání,,,,,
7507R047,Sbormistrovství se zaměřením na vzdělávání,,,,,
7507R048,Učitelství uměleckých odborných předmětů v ZUŠ - výtvarná pedagogika,,,,,
7507R049,Křesťanská výchova se zaměřením na vzdělávání,,,,,
7507R050,Občanská výchova se zaměřením na vzdělávání,,,,,
7507R051,Technická výchova se zaměřením na vzdělávání,,,,,
7507R052,Pedagogické asistenství,,,,,
7507R053,Popularizace hudby a organizace hudebního života,,,,,
7507R054,Výtvarná výchova,,,,,
7507R055,Přírodopis se zaměřením na vzdělávání,,,,,
7507R056,Učitelství praktického vyučování a odborného výcviku,,,,,
7507R057,Grafická tvorba - multimédia,,,,,
7507R058,Náboženství se zaměřením na vzdělávání,,,,,
7507R059,Psychologie se zaměřením na vzdělávání,,,,,
7507R060,Ruský jazyk se zaměřením na vzdělávání,,,,,
7507R061,Pedagogická způsobilost,,,,,
7507R062,Anglický jazyk - specializace v pedagogice,,,,,
7507R063,Asistent pedagoga,,,,,
7507R064,Historická hudební praxe,,,,,
7507R065,Pedagogické asistenství křesťanské výchovy pro základní školy,,,,,
7507R066,Informační a komunikační technologie ve vzdělávání,,,,,
7507R067,Náboženství se zaměřením na vzdělávání a katechetika,,,,,
7507R068,Sociálně pedagogické asistenství,,,,,
7507R069,Základy výrobní techniky se zaměřením na vzdělávání,,,,,
7507R070,Učitelství odborných předmětů,,,,,
7507R071,Přírodovědná a ekologická výchova,,,,,
7507R072,Environmentální výchova se zaměřením na vzdělávání,,,,,
7507R073,"Náboženství, etika a filozofie se zaměřením na vzdělávání",,,,,
7507R075,Hra na nástroj a sólový zpěv se zaměřením na vzdělávání,,,,,
7507R076,Řízení sboru,,,,,
7507R077,Tělovýchovné a sportovní aktivity se zaměřením na vzdělávání,,,,,
7507R078,Základy matematiky se zaměřením na vzdělávání,,,,,
7507R079,Základy techniky se zaměřením na vzdělávání,,,,,
7507R080,Německý jazyk pro školskou praxi,,,,,
7507R081,Zeměpis se zaměřením na vzdělávání,,,,,
7507R082,Čeština jako cizí jazyk,,,,,
7507R083,Sociálně zdravotní práce se zaměřením na vzdělávání,,,,,
7507R085,Výtvarná výchova pro střední školy a základní umělecké školy se zaměřením na vz.,,,,,
7507R087,Popularizace hudební kultury,,,,,
7507R088,Andragogika v profilaci na řízení lidských zdrojů v neziskové sféře,,,,,
7507R090,Transkulturní komunikace,,,,,
7507R091,Informační výchova se zaměřením na vzdělávání,,,,,
7507R092,Poradenství v odborném vzdělávání,,,,,
7507R095,Sociální komunikace v neziskovém sektoru,,,,,
7507R096,Informační technologie a e-learning,,,,,
7507R097,Historie se zaměřením na vzdělávání,,,,,
7507R098,Etická výchova se zaměřením na vzdělávání,,,,,
7507R101,Ochrana obyvatelstva se zaměřením na vzdělávání,,,,,
7507R102,Výtvarná výchova pro pomáhající profese,,,,,
7507R103,Výtvarná výchova (dvouoborové),,,,,
7507R104,Hudební výchova pro pomáhající profese,,,,,
7507R106,Informační a komunikační technologie se zaměřením na vzdělávání,,,,,
7507R109,Edukační péče o seniory,,,,,
7507T001,Informační technologie ve vzdělávání,,,,,
7507T002,Pedagogika a psychologie,,,,,
7507T003,Prezentační a didaktická média,,,,,
7507T005,Uměleckopedagogické studium - hudební zaměření,,,,,
7507T074,Migration and Intercultural Relations,,,,,
7507T086,Resocializační pedagogika,,,,,
7507T099,Muzejní a galerijní pedagogika,,,,,
7507T100,Hra na nástroj a sólový zpěv se zaměřením na učitelství ZUŠ,,,,,
7507V066,Informační a komunikační technologie ve vzdělávání,,,,,
7507V084,Výtvarná výchova (teorie výtvarné pedagogiky a výtvarné tvorby),,,,,
7507V089,Teorie vzdělávání v matematice,,,,,
7507V093,Vzdělávání v biologii,,,,,
7507V094,Music Theory and Education,,,,,
7507V105,Didaktika primárního přírodovědného vzdělávání,,,,,
7507V107,Didaktika geografie,,,,,
7507V108,Didaktika literatury,,,,,
7531R001,Učitelství pro mateřské školy,,,,,
7531T001,Učitelství pro mateřské školy,,,,,
7701R000,Kmenový obor: Psychologie,,,,,
7701R005,Psychologie,,,,,
7701R006,Psychologie (v kombinaci),,,,,
7701R012,Arteterapie,,,,,
7701R013,Psychologie a speciální pedagogika,,,,,
7701T004,Psychologické a sociální vědy,,,,,
7701T005,Psychologie,,,,,
7701T006,Psychologie (v kombinaci),,,,,
7701T009,Psychosociální vědy,,,,,
7701T010,Sociální psychologie,,,,,
7701T013,Psychologie a speciální pedagogika,,,,,
7701T015,Psychoterapeutická studia,,,,,
7701V001,Klinická psychologie,,,,,
7701V002,Obecná psychologie,,,,,
7701V003,Pedagogická psychologie,,,,,
7701V005,Psychologie,,,,,
7701V007,Psychologie práce,,,,,
7701V008,Psychologie práce a organizace,,,,,
7701V010,Sociální psychologie,,,,,
7701V011,Vývojová psychologie,,,,,
7701V014,Lékařská psychologie a psychopatologie,,,,,
8101R002,Dějiny výtvarných umění,,,,,
8101T002,Dějiny výtvarných umění,,,,,
8101T003,Teorie a dějiny výtvarných umění,,,,,
8101T005,Věda o výtvarném umění,,,,,
8101T007,Teorie a dějiny moderního a současného umění,,,,,
8101V001,Dějiny výtvarného umění,,,,,
8101V003,Teorie a dějiny výtvarných umění,,,,,
8101V004,Teorie výtvarné tvorby blíže nespecifikovaných oborů,,,,,
8101V006,Kurátor a kritik designu a intermédií,,,,,
8101V007,Teorie a dějiny moderního a současného umění,,,,,
8102R001,Hudební teorie,,,,,
8102R002,Hudební umění - hudební teorie,,,,,
8102R003,Hudební věda,,,,,
8102R005,Muzikologie,,,,,
8102R008,Teorie a provozovací praxe staré hudby,,,,,
8102R011,Uměnovědná studia,,,,,
8102T001,Hudební teorie,,,,,
8102T002,Hudební umění - hudební teorie,,,,,
8102T003,Hudební věda,,,,,
8102T005,Muzikologie,,,,,
8102T007,Teorie a dějiny hudby,,,,,
8102T010,Věda o hudebním umění,,,,,
8102V001,Hudební teorie,,,,,
8102V003,Hudební věda,,,,,
8102V004,Interpretace a teorie interpretace,,,,,
8102V006,Skladba a teorie skladby,,,,,
8102V007,Teorie a dějiny hudby,,,,,
8102V009,Teorie hudební tvorby,,,,,
8102V010,Věda o hudebním umění,,,,,
8103R002,Taneční věda,,,,,
8103T001,Taneční umění - teorie tance,,,,,
8103T002,Taneční věda,,,,,
8103T003,Teorie tance,,,,,
8103V002,Taneční věda,,,,,
8104R001,Divadelní věda,,,,,
8104R002,Dramatické umění - teorie a kritika,,,,,
8104R003,Filmová věda,,,,,
8104R005,Teorie a dějiny divadla,,,,,
8104R008,Teorie a dějiny dramatických umění,,,,,
8104R009,Teorie a dějiny filmu a audiovizuální kultury,,,,,
8104R011,Teorie a kritika,,,,,
8104R014,Teorie interaktivních médií,,,,,
8104R017,Filmová studia,,,,,
8104R018,Scénická a mediální studia,,,,,
8104T001,Divadelní věda,,,,,
8104T002,Dramatické umění - teorie a kritika,,,,,
8104T003,Filmová věda,,,,,
8104T004,Filmová věda (v kombinaci),,,,,
8104T005,Teorie a dějiny divadla,,,,,
8104T007,"Teorie a dějiny divadla, filmu, rozhlasu a televize",,,,,
8104T008,Teorie a dějiny dramatických umění,,,,,
8104T009,Teorie a dějiny filmu a audiovizuální kultury,,,,,
8104T010,"Teorie a dějiny literatury, divadla a filmu",,,,,
8104T011,Teorie a kritika,,,,,
8104T014,Teorie interaktivních médií,,,,,
8104T015,"Věda o divadelním, filmovém a televizním umění",,,,,
8104T017,Filmová studia,,,,,
8104V001,Divadelní věda,,,,,
8104V003,Filmová věda,,,,,
8104V006,"Teorie a dějiny divadla, filmu a audiovizuální kultury",,,,,
8104V007,"Teorie a dějiny divadla, filmu, rozhlasu a televize",,,,,
8104V010,"Teorie a dějiny literatury, divadla a filmu",,,,,
8104V012,Teorie divadelní tvorby,,,,,
8104V013,Teorie filmové a multimediální tvorby,,,,,
8104V016,Teorie a dějiny divadelní tvorby,,,,,
8106R003,Literární věda a dokumentace literatury,,,,,
8106T002,Literární komparatistika,,,,,
8106T003,Literární věda a dokumentace literatury,,,,,
8106T006,Teorie a dějiny slovanských literatur,,,,,
8106V001,Dějiny novější české literatury,,,,,
8106V002,Literární komparatistika,,,,,
8106V004,Teorie a dějiny české literatury,,,,,
8106V005,Teorie a dějiny literatur zemí Asie a Afriky,,,,,
8106V006,Teorie a dějiny slovanských literatur,,,,,
8106V007,Teorie literatury,,,,,
8106V008,Teorie literatury a dějiny konkrétních národních literatur,,,,,
8106V009,Literární věda - teorie a dějiny národních literatur,,,,,
8109R001,Dějiny křesťanského umění,,,,,
8109R002,Dějiny umění,,,,,
8109R004,Dějiny umění a péče o kulturní dědictví,,,,,
8109R005,Estetika,,,,,
8109R007,Komparatistika,,,,,
8109R008,Kulturologie,,,,,
8109R011,Sdružená uměnovědná studia,,,,,
8109R016,Dějiny umění se zam.na památkovou péči a techn.památky,,,,,
8109R021,Dějiny umění a památková péče,,,,,
8109T001,Dějiny křesťanského umění,,,,,
8109T002,Dějiny umění,,,,,
8109T003,Dějiny umění (v kombinaci),,,,,
8109T005,Estetika,,,,,
8109T006,Estetika (v kombinaci),,,,,
8109T007,Komparatistika,,,,,
8109T008,Kulturologie,,,,,
8109T009,Kulturologie (v kombinaci),,,,,
8109T010,Marxisticko-leninská estetika,,,,,
8109T013,Teorie a řízení kultury,,,,,
8109T014,Komparatistika (dvouoborová),,,,,
8109T015,Komparatistika (jednooborová),,,,,
8109T017,Dějiny a teorie designu a nových médií,,,,,
8109T018,Estetika a kulturní studia,,,,,
8109T019,Management v kultuře,,,,,
8109T020,Srovnávací a uměnovědná studia,,,,,
8109T022,Dějiny a filozofie umění,,,,,
8109V001,Dějiny křesťanského umění,,,,,
8109V005,Estetika,,,,,
8109V007,Komparatistika,,,,,
8109V008,Kulturologie,,,,,
8109V010,Marxisticko-leninská estetika,,,,,
8109V012,Teorie a dějiny umění,,,,,
8201R001,Bicí nástroje,,,,,
8201R003,Cembalo,,,,,
8201R004,Cembalo (hra na cembalo),,,,,
8201R005,Dirigování,,,,,
8201R006,Dirigování (dirigování orchestru),,,,,
8201R007,Dirigování orchestru,,,,,
8201R008,Dirigování sboru,,,,,
8201R009,Duchovní hudba,,,,,
8201R010,Fagot,,,,,
8201R012,Flétna,,,,,
8201R014,Harfa,,,,,
8201R015,Hoboj,,,,,
8201R017,Housle,,,,,
8201R019,Hra na bicí nástroje,,,,,
8201R020,Hra na cembalo,,,,,
8201R021,Hra na fagot,,,,,
8201R022,Hra na flétnu,,,,,
8201R023,Hra na hoboj,,,,,
8201R024,Hra na housle,,,,,
8201R025,Hra na klarinet,,,,,
8201R026,Hra na klavír,,,,,
8201R027,Hra na kontrabas,,,,,
8201R028,Hra na lesní roh,,,,,
8201R029,Hra na trombon,,,,,
8201R030,Hra na trubku,,,,,
8201R031,Hra na varhany,,,,,
8201R032,Hra na violoncello,,,,,
8201R033,Hra na violu,,,,,
8201R034,Hudba,,,,,
8201R035,Hudebně dramatické umění,,,,,
8201R036,Hudební management,,,,,
8201R037,Hudební manažerství,,,,,
8201R038,Hudební režie,,,,,
8201R039,Hudební umění,,,,,
8201R043,Hudební umění - duchovní hudba,,,,,
8201R049,Hudební umění - hudební management,,,,,
8201R066,Klarinet,,,,,
8201R068,Klavír,,,,,
8201R069,Klavír (hra na klavír),,,,,
8201R070,Kompozice,,,,,
8201R071,Kontrabas,,,,,
8201R073,Kytara,,,,,
8201R074,Lesní roh,,,,,
8201R076,Operní režie,,,,,
8201R077,Pozoun,,,,,
8201R079,Sbormistrovství chrámové hudby,,,,,
8201R080,Skladba,,,,,
8201R081,Trubka,,,,,
8201R083,Tuba,,,,,
8201R084,Varhany,,,,,
8201R085,Varhany (hra na varhany),,,,,
8201R086,Viola,,,,,
8201R088,Violoncello,,,,,
8201R090,Zpěv,,,,,
8201R092,Zvuková tvorba,,,,,
8201R095,Hudební teorie,,,,,
8201R097,Hra na kytaru,,,,,
8201R098,Hudba se zaměřením na vzdělávání,,,,,
8201R099,Hudební produkce,,,,,
8201R101,Multimediální kompozice,,,,,
8201R103,Jazzová interpretace,,,,,
8201R104,Saxofon,,,,,
8201R105,Hra na tubu,,,,,
8201R106,Klavírní pedagogika,,,,,
8201R107,Bicí nástroje - jazz,,,,,
8201R108,Klavír - jazz,,,,,
8201R109,Kontrabas - jazz,,,,,
8201R110,Saxofon - jazz,,,,,
8201R111,Historická interpretace,,,,,
8201R112,Kytara – jazz,,,,,
8201T000,Kmenový obor: Hudební umění,,,,,
8201T001,Bicí nástroje,,,,,
8201T002,Bicí nástroje (hra na bicí nástroje),,,,,
8201T003,Cembalo,,,,,
8201T004,Cembalo (hra na cembalo),,,,,
8201T005,Dirigování,,,,,
8201T007,Dirigování orchestru,,,,,
8201T008,Dirigování sboru,,,,,
8201T010,Fagot,,,,,
8201T011,Fagot (hra na fagot),,,,,
8201T012,Flétna,,,,,
8201T013,Flétna (hra na flétnu),,,,,
8201T014,Harfa,,,,,
8201T015,Hoboj,,,,,
8201T016,Hoboj (hra na hoboj),,,,,
8201T017,Housle,,,,,
8201T018,Housle (hra na housle),,,,,
8201T019,Hra na bicí nástroje,,,,,
8201T020,Hra na cembalo,,,,,
8201T021,Hra na fagot,,,,,
8201T022,Hra na flétnu,,,,,
8201T023,Hra na hoboj,,,,,
8201T024,Hra na housle,,,,,
8201T025,Hra na klarinet,,,,,
8201T026,Hra na klavír,,,,,
8201T027,Hra na kontrabas,,,,,
8201T028,Hra na lesní roh,,,,,
8201T029,Hra na trombon,,,,,
8201T030,Hra na trubku,,,,,
8201T031,Hra na varhany,,,,,
8201T032,Hra na violoncello,,,,,
8201T033,Hra na violu,,,,,
8201T036,Hudební management,,,,,
8201T037,Hudební manažerství,,,,,
8201T038,Hudební režie,,,,,
8201T039,Hudební umění,,,,,
8201T040,Hudební umění - bicí nástroje,,,,,
8201T041,Hudební umění - cembalo,,,,,
8201T042,Hudební umění - dirigování,,,,,
8201T044,Hudební umění - fagot,,,,,
8201T045,Hudební umění - flétna,,,,,
8201T046,Hudební umění - harfa,,,,,
8201T047,Hudební umění - hoboj,,,,,
8201T048,Hudební umění - housle,,,,,
8201T049,Hudební umění - hudební management,,,,,
8201T050,Hudební umění - hudební režie,,,,,
8201T051,Hudební umění - klarinet,,,,,
8201T052,Hudební umění - klavír,,,,,
8201T053,Hudební umění - kontrabas,,,,,
8201T054,Hudební umění - kytara,,,,,
8201T055,Hudební umění - lesní roh,,,,,
8201T056,Hudební umění - operní režie,,,,,
8201T057,Hudební umění - pozoun,,,,,
8201T058,Hudební umění - skladba,,,,,
8201T059,Hudební umění - trubka,,,,,
8201T060,Hudební umění - tuba,,,,,
8201T061,Hudební umění - varhany,,,,,
8201T062,Hudební umění - viola,,,,,
8201T063,Hudební umění - violoncello,,,,,
8201T064,Hudební umění - zpěv,,,,,
